headline,links,content,labels
Sanjay Mishra on his next film 'Kaamyaab': 'This is the story of my industry – which I live and breathe',https://www.thehindu.com/entertainment/movies/sanjay-mishra-on-his-next-film-kaamyaab-this-is-the-story-of-my-industry-which-i-live-and-breathe/article30983759.ece,"A strong breeze passes through the outside seating of the eighth floor at the Red Chillies Entertainment office in Santa Cruz. Actor Sanjay Mishra jokingly asks if I’m allergic to cigarettes before starting to light one. But a gust of wind thwarts his attempts. With the cigarette lit and perched between his fingers, he sits back in a chair, setting the tone for an interview in Hindi that’s relaxed, free-wheeling, and clearly being guided by a story teller.
This week, the actor will be seen in Hardik Mehta’s Kaamyaab – a story about a 65-year-old bit-part actor, played by Mishra, returning from retirement to do his 500th role. “Sudheer is a bad actor,” Mishra says about his character, suddenly breaking into a cackle – acting out the caricature of an evil villain laughing, “He plays those mediocre, stereotyped roles.” Mishra adds that Sudheer, who saw popularity in the 70s and 80s has to relearn his space in contemporary Indian cinema. “He struggles with that. Ek bujhte hue diye ko vaapas se jalane ki koshish hai – Kaamyaab (It’s an attempt to rekindle a dimming lamp).”
For Mishra, playing Sudheer was a no-brainer, “Because this is the story of my industry – which I live and breathe. This is my own story.” Mishra himself has often been a face within ensemble casts. The National School of Drama graduate found immense popularity with his comedic roles in ensemble films – whether on the sitcom Office Office (2001) as Shukla, in Rohit Shetty’s Golmaal series, or Indra Kumar’s Dhamaal (2007). But he proved to be just as comfortable in serious roles – like the conservative father in Masaan (2015) – and also as a protagonist – whether as Bauji, the patriarch of a joint family in Rajat Kapoor’s Ankhon Dekhi (2014), or a blind farmer in Kadvi Hawa (2017). But Mishra is no stranger to being labelled a “character actor”.
“It’s not the audiences [who slot actors this way], it’s the makers,” he says, “These [labels] came up in the 70s and 80s when a kind of film was popular – with one hero and one heroine who fell in love.” But Mishra adds that he’s both relieved and excited to see cinema change increasingly – to focus on being content-oriented and pivoting around more layered characters instead of formulae. He points to Kaamyaab as an example.
While Sudheer in the film gets wrapped up in numbers, I ask Mishra how many films he has done, and he says simply, “I don’t count the rotis I eat, nor do I do work by counting [my roles], but someone had mentioned to me, 173.’” Despite the years being packed with releases, Mishra ensures he takes a pause frequently. It’s a habit that may have found its roots over a decade ago when Mishra had to recover from the sudden passing of his father, around the release of the comedy Aloo Chaat (2009).
“I wanted to leave everything,” he says about the time, “I had gone blank – there was a vacuum in my life. I had been cast in that role,” he says explaining that he had recently recovered from a difficult illness when he lost his father unexpectedly. Mishra remembers asking his father’s friend at the funeral, “When did the casting change?”
The actor then withdrew to Rishikesh and worked in a dhaba, before his family and director Rohit Shetty asked him to return to the life he had left. But Mishra still ensures he takes frequent breaks, “To find that emptiness. It’s important to pause for a minute and just think about who you are, where you’ve reached, where you’re headed. Think about those around you.” He often seeks out unknown faces who don’t know him either, and has uninhibited conversations with strangers.
 It’s this trait of listening that makes him feel close to Bauji, his character in Ankhon Dekhi, “Because he says listen, look, learn,” since Bauji chooses to only believe in what he sees, and nothing else. With genuine conviction he adds Sudheer to this list of characters that resonate with him deeply.
Wrapping up, the actor rattles off a long list of films he’ll soon be seen in – Bhool Bhulaiyaa 2, Gwalior, Death on a Sunday, 108 Limited, Colour Black, and Holy Cow. On how he singles out his projects, Mishra says, “There’s no thinking behind it. Whichever feels close to the heart – every film [becomes] a turning point for me.”",movies
Aaditi Pohankar’s Netflix series ‘She’ is about a female constable taking on a drug cartel,https://www.thehindu.com/entertainment/movies/aaditi-pohankars-netflix-series-she-is-about-a-female-constable-taking-on-a-drug-cartel/article30981662.ece,"Aaditi Pohankar says Netflix’s upcoming series She is a powerful story about a female constable, who is on a quest to finding her identity.
The Netflix series showcases the journey of a female constable discovering her power as a woman while taking down a drug cartel. The trailer of the series was released on Wednesday. 
 

She's here, she's ready, she's only just begun. She, premieres 20th March.#SheOnNetflix@Viacom18Studios@TippingPoint_In pic.twitter.com/wIYa7YUmg2— Netflix India (@NetflixIndia) March 4, 2020 


 
She's here, she's ready, she's only just begun. She, premieres 20th March.#SheOnNetflix@Viacom18Studios@TippingPoint_In pic.twitter.com/wIYa7YUmg2
She revolves around Bhumika Pardesi, a Mumbai police constable who is sent on the streets as an undercover prostitute to take down the drug lord, and somehow, gets caught in the dangerous crossfire.
Aaditi will be seen in the lead role of Bhumika. 
“She is a powerful story about a female constable who is made to go undercover to bring down a drug cartel,” Aaditi said. 
“In the line of duty, my character Bhumika discovers herself — her sexuality and her own power in the truest sense. This role has definitely been one of the most challenging and complex one that I have played so far. I’m thankful that Imtiaz chose me to bring this amazing character to life,” she added.
It also stars Vijay Verma as Sasya, Vishwas Kini as Jason Fernandes amongst others.
The crime thriller, produced by Viacom18 Studio’s Tipping Point, is helmed by Imtiaz Ali and directed by Arif Ali and Avinash Das. She will be available on the service from March 20, 2020. ",movies
Hrithik Roshan: ‘I’m looking at the entire world for a good script’,https://www.thehindu.com/entertainment/movies/hrithik-roshan-im-looking-at-the-entire-world-for-a-good-script/article30981359.ece,"I couldn’t brush my teeth properly in seven minutes. Yet that is all the time Bollywood actor Hrithik Roshan could spare for an interaction. 
The star, last seen in the action film War, had flown to Chennai to launch Rado’s True Square design watches at Express Avenue. I get to meet Hrithik an hour before he sets off to the venue, at Taj Connemara. As his entourage guides the way into a large hall, I come across the man posing for cameras against a black backdrop; he is sporting an unbuttoned denim jacket that reveals a white, round neck vest which he has paired with jeans and a pair of white shoes.
Now Hrithik, for those who keenly follow his social media accounts, is well aware of his status as a style icon. So, naturally, when I grab a chair and sit next to him, I had to remark that it takes someone of his stature to carry off plain denim so fashionably well in 2020. He smiles. “I don’t know, man. I really don’t know fashion. I just wear whatever my stylist picks and see if I’m comfortable with it. If I am, then I go with it,” he says. That can’t be true. “I want to be a fashion student. I want to learn. It needs work and time. It is not easy. I’m picking up things here and there.” Perhaps that explains the pictures of him in a towel, which he shared a couple of days ago and for which he cited Ranveer Singh as inspiration. 
 Into his seventh year as the face of Rado, the actor says that the watches have helped him “articulate” some aspects of his character.
Learning curveHrithik Roshan likes being a part of ensemble films. “I like the experience. I think all the films that I have done which were two-hero subjects or ensemble films are what I cherish the most... like Zindagi Na Milegi Dobara, even War with Tiger [Shroff]. It is because you work with good people and you are less alone, as opposed to being alone on the boat and having to row it across the river by yourself,” he laughs, and adds: “You have company and you share the responsibility as well.”
 Yet it has taken him over two decades, since making his debut as lead actor in Kaho Naa... Pyaar Hai (2000), to realise the possibilities of evolving. The actor confides that he prefers to have less filters about him. “I have a new-found joy in being a little more unfiltered... little reckless too, perhaps, as opposed to becoming the kind of person that you know will be liked,” he laughs, and adds: “As actors, you tend to do that. You filter all the negatives out to fit yourself and retain the things that you know have been proven to work, and [make you feel] loved.”






Bollywood actor Hrithik Roshan pose at an interview with The Hindu MetroPlus at Taj Connemara in Chennai on Tuesday
 
| Photo Credit: B. Jothi Ramalingam  





One way of him trying to make a change for himself is by pushing his boundaries. Which is why the actor recently signed up with The Gersh Agency, a talent firm based in Beverly Hills, California. 
“To be honest, I’m looking at the entire world for a good script. [I want] to be in an environment where I would get to learn something new... one that would challenge me, would make me want to wake up and be wide-eyed... you know, like a student. That is how I want to be on the [film] set. I detest the fact that I could be on a set this day and be the one everyone looks up to,” he says.
An interesting comment, I observe, and Hrithik corrects it a bit. “I don’t detest it but I think it really mars my personal growth. I want to learn. Hopefully, with Gersh, or with Hollywood, I may get those chances. I look for them even here and those are the kind of films I end up doing,” he adds.
The star asserts that it cannot be misconstrued as Hrithik assuming that he has hit a ceiling in Bollywood. “I’m just looking at the potential. There is a probability that if I’m with people in a new environment, and who have been in the business for far more years than our industry has even existed... there are more chances of me being even more wide-eyed. It is not that I want to be a Hollywood star. That’s not my aim at all. I’m just looking for a good script,” he notes.
Since last year’s War, which took the best opening of the star’s career, Hrithik has been on a sort of break, “reading scripts and watching a lot of films”. But he is also getting ready to film Krrish 4, the third film in the superhero spin-off of his 2003 hit Koi... Mil Gaya, though he does not divulge any details. “We are just working on it right now,” he smiles. The actor has been known to push his fitness to a superhuman level when filming the franchise. He has also hurt himself in the process of filming stunts for his films. Such freak injuries could be a thing of the past for Hrithik, who last underwent a surgery for subdural haematoma that he sustained in a fly-boarding stunt sequence while filming Bang Bang! (2014).
“I’ve put myself in harm’s way a lot of times for films like Krrish and Dhoom 2. But there is complete safety now. The technology is so wonderful that you never really need to put yourself at risk. You just need to have a certain level of fitness, which is what I’m aspiring for,” he says.
Being fit, though, means more for the actor. “It means to be the best version of myself. [Fitness] for me is not really about the biceps and the six pack abs. It is really about living a life that is wholesome. Fitness is the best way to get to that point,” he concludes.",movies
Sidharth Malhotra to star in Hindi remake of Arun Vijay’s ‘Thadam’,https://www.thehindu.com/entertainment/movies/sidharth-malhotra-to-star-in-hindi-remake-of-arun-vijays-thadam/article30980212.ece,"Actor Sidharth Malhotra will star in the Hindi remake of Tamil hit Thadam, the makers announced Wednesday.
 The yet-to-be-titled action thriller will hit the theatres on November 20.
 To be directed by debutant Vardhan Ketkar, the movie is jointly produced by Bhushan Kumar and Murad Khetani.
 Sidharth, who will once again be seen in a double role, said he was looking forward to working on the film.
“Double trouble! Excited to be a part of this ultimate entertaining thriller, in association with @itsbhushankumar, @MuradKhetani and #VardhanKetkar. See you at the movies on 20th November, 2020,” the Marjaavaan star wrote on Twitter.
 This is Sidharth’s third film in which he will be seen in a dual role after A Gentleman (2017) and his upcoming release Shershaah, based on the life of Kargil hero Captain Vikram Batra.
 Starring Arun Vijay in the lead, 2019’s Thadam is a murder mystery. Things get interesting when the murder accused is found to have a lookalike. The Tamil film also starred Tanya Hope, Smruthi Venkat, and Vidya Pradeep.
 Bhushan, who is collaborating with Murad for a fourth time, said working with the co-producer is always a fun experience.
“We both share the same love and passion for films and hence our collaborations have always been successful. When Murad bhai mentioned about ‘Thadam’ and post reading the hindi script, it was an instant yes from my side. It was an unanimous choice to get Sidharth on board as a lead and he will surprise the audiences in this film. Vardhan has worked with one of the best directors in the industry and he is apt to lead this project,” the producer said.
 Murad said he watched Thadam when it released and loved the film, which is based on real incidents.
“So much so that I approached the Tamil makers and immediately bought the rights for the Hindi remake of the film. Sidharth Malhotra was my first choice and when I approached him, he instantly agreed to come on board. I share a wonderful relationship with ‘Bhushanji’, after the success of ‘Kabir Singh’, this is our fourth collaboration with T-Series including ‘Bhool Bhulaiyaa 2’, Sandeep Vanga’s next and now ‘Thadam’,” he added.
 The Hindi remake of Thadam will be shot in Delhi from May. ",movies
"Alia Bhatt, Katrina Kaif, Kiara Advani feature in music video to promote ‘Angrezi Medium’ ",https://www.thehindu.com/entertainment/movies/alia-bhatt-katrina-kaif-kiara-advani-feature-in-music-video-to-promote-angrezi-medium/article30980135.ece,"Actors Alia Bhatt, Katrina Kaif, Anushka Sharma, among others have joined hands for a special track for Irrfan Khan-Radhika Madan starrer Angrezi Medium.
Irrfan, the protagonist of Angrezi Medium, who was diagnosed with neuroendocrine tumour in 2018, is undergoing treatment and won’t be available for promotions.
The three Bollywood actors, along with Janhvi Kapoor, Kriti Sanon, Kiara Advani, and Ananya Panday, rallied around Radhika in the music video Kudi Nu Nachan De, which celebrates women.
 




 
The song, sung by Vishal Dadlani, was launched on Wednesday.
Homi Adajania, director of the film, said he was overwhelmed with the gesture by all these actors.
“The Angrezi Medium journey has been unlike anything I’ve experienced. It’s been made with so much love and positivity and this video takes the spirit ahead. It’s a glimpse of what love and positivity looks like. These are beautiful people who gave us time with little notice, selflessly pitched in and I love them for this,” Homi said in a statement here.
Katrina said everyone in the film industry should stand by each other.
“Irrfan and Homi are two of my most favourite people, so when he called me there was no question of me not stepping in. I feel that when we can be there for someone, we should. That’s how it should be in our industry,” she said.
“Irrfan sir has given all of us so much and we want to see him back soon and in the best health possible,” Janhvi said.
Alia said when she listened to “Kudi Nu...”, the song made her want to fly and dance.
“That’s how meaningful it is. It’s a really cool song,” Alia said.
“When Homi sent me the song, it was on loop and it still is. This song is going to make everyone super happy,” Anushka added.
Producer Dinesh Vijan said such gestures make the world a better place.
Presented by Jio Studios and Prem Vijan, Angrezi Medium, a Maddock Films production, is slated for a March 13 release.",movies
Ready to woo the big screen,https://www.thehindu.com/entertainment/movies/pradeep-machiraju-talks-about-his-debut-movie-30-rojullo-preminchatam-yela/article30979671.ece,"He is the Superstar of the small screen and was recently voted as the most desirable man by a daily. This is just another pat on the back for Pradeep Machiraju. In fact, it is an offshoot of the efforts he takes to look good on television. “I spend time with my stylist and pick my colours and clothes. Most youngsters follow television trends and some of them might even want to look like you, so I go with the complete package,” says the TV host, who is making his big-screen début with 30 Rojullo Preminchatam Yela that is releasing shortly. 
On what made him shift gears, Pradeep says, “I’ve always wanted to be an all-rounder. I grabbed the offer when director Munna told me about 30 Days lo Preminchatam Yela.” Pradeep insists that he will pick subjects that are ‘different’. 
In 30 Days lo... he plays two characters. “It talks about some people who are in a situation where they have to work it out in 30 days. In other words, what if the same love story that happened in the past, repeats itself in 2020?”
Turning TV host was a natural choice for an extrovert like him. “In the entertainment industry, the fame comes with a sense of responsibility, it becomes a serious job. After Engineering, I was sure I wanted to do something in a creative field and looked for work for a year. I attended events and got a job as an RJ. My parents were very supportive. Being an RJ is not about talking whatever comes to your mind. There is a decent amount of research to be done and a message has to be passed in an entertaining way without sounding preachy. You get to be a friend to so many unknown faces and I did it for two years.”
 Pradeep moved to television at a time when Suma, Jhansi, Udaya Bhanu, Ohmkar and Prabhakar were popular names. He resolved to be himself and addressed people according to their age groups. 






Pradeep Machiraju  
| Photo Credit: 
By arrangement  





The household comedy Gadasari Attha Sogasari kodallu worked and he picked up a few awards and got the confidence to create a new style for himself. People began following him and he also took to hosting TV shows. Even now, he freelances for TV and never runs out of work. How did he succeed at creating a brand of his own? “I only wanted to be comfortable watching the show with my parents because during that time, some shows turned into an embarrassing watch for families. Every person has his/her preferences when it comes to TV shows, and we shouldn’t get judgemental. These shows have their own fan following. The television industry today is very good; they are particular about quality,” shares Pradeep who turned producer for talk show Konchem Touch Lo Unte Cheptha which became a huge success.
He states from his experience, “Every show is a different story. Be it housewives, senior citizens or the younger generation, I don’t want to disappoint them. I produced Konchem...as I was willing to take the risk; we have a tie up with channels. I finished four seasons of it and simultaneously began working for other channels. My days are packed but I enjoy it.”
30 Rojullo Preminchatam Yela is going through final mixing. Pradeep, despite his experience, is anxious and wonders how the public will receive him on the big screen. “Audience spend money to come to theatres. I wish I live up to their expectations,” he sums up. ",movies
Bond yields decline on expectation of rate cut,https://www.thehindu.com/business/Economy/bond-yields-decline-on-expectation-of-rate-cut/article30984126.ece,"After the U.S. Federal Reserve reduced interest rates on Tuesday to fight the economic slowdown due to the spread of COVID-19, there is growing expectation in the domestic market that the Reserve Bank will follow suit.
Bond yields softened on Wednesday amid rate cut hopes, with the yield on the 10-year government bond dropping 12 bps to close the day at 6.23%.
“We note other Asian central banks have already been easing on account of expected supply-led growth disruptions, while the RBI has been stealth easing via [long-term repo operation], partly as high inflation inhibited conventional easing,” Madhavi Arora, lead economist, Edelweiss Securities, said. 
“However, as we argued post another sluggish GDP print last week, RBI could now front-load its impending rate cuts and could further the LTROs by as early as end March,” Ms. Arora said.
After cutting interest rates by 135 bps between February and October 2019, the central bank has hit the pause button. At the same time, it introduced long-term repo operationsthrough which it lends to banks at rates cheaper than prevailing market rates. “Coordinated easing measures taken by central banks open up an opportunity for RBI to look at easing. The correction in crude oil prices would help push inflation down, allowing RBI to look through the transient inflationary forces which had forced it to ‘pause’ last time. Interest rate sensitive sectors viz., banking, auto, real estate and housing finance would [benefit],” said Pankaj Bobade, head — Fundamental Research, Axis Securities.
Bank of America Merrill Lynch said Tuesday’s Fed cut supported the call of a 50 bps RBI rate cut in 2020. 
“We see 50 bps risk to [first half of 2020] growth if the COVID infection worsens. As it is, we see FY20 growth at 4.9% and FY21 at 5.6%,” BofaML said in a note, adding that rate cut could happen during the June-August and Oct.-Dec. periods.
“We expect the RBI to inject $45 billion of durable liquidity in FY21, to pull down lending rates,” it added. 
The rupee, which weakened in the last three sessions, ended 4 paisa higher on Wednesday amid a volatile trading as it hit the day’s low of 73.63 a dollar, closing at 73.19. ",economy
COVID-19 | SEBI says gauging virus impact,https://www.thehindu.com/business/Economy/sebi-says-gauging-virus-impact/article30984179.ece," The Securities and Exchange Board of India (SEBI) is assessing the possible impact of COVID-19 on the markets and taking steps to tackle the same, said S. K. Mohanty, whole-time member, SEBI.
“SEBI is aware of the coronavirus and the possible impact that it can have on the market. We are taking necessary steps,” he said. on the sidelines of a capital market summit organised by industry body Assocham.
“We’ve seen the RBI statement. Whatever has to be done, has to be done. We are internally assessing the situation,” he added.
The SEBI statement comes a day after the Reserve Bank of India (RBI) said it was monitoring the financial markets closely on account of the virus scare.
Asked if the issue had been discussed at the Financial Stability and Development Council (FSDC), which has representations from all regulatory bodies, the SEBI member said, ‘not yet.’
The impact of COVID-19 in India has been visible in most segments of the markets, including equities, currency and bonds. 
Incidentally, the last few trading sessions had seen the benchmark Sensex shedding more than 3,000 points while the rupee went past the 73-mark on Tuesday and bond yields dropped 11 bps on Wednesday.
 On a different note, the capital markets regulator has taken up with the government the issue of taxation with respect to dividends from real estate investment trusts (REITs) and infrastructure investment trusts (InvITs).
A Budget proposal has made dividends from such structures taxable, which, market participants believe, would be a huge dampener for the segment.
“...the taxation part is not in the hands of SEBI, but we have taken it up with the government, let’s hope for the best,” said Mr. Mohanty.
“If that (change or amendment) happens, if we stick to the taxation incentive to REITs and InvITs given in 2016, if that is restored, then definitely billions of dollars India would get and will help our economy in a great way,” he added.",economy
Nod for changes to Companies Act for decriminalising offences,https://www.thehindu.com/business/Economy/nod-for-changes-to-companies-act-for-decriminalising-offences/article30984139.ece,"The Centre proposes to amend the Companies Act again, in a bid to decriminalise a number of offences and ease corporate social responsibility (CSR) requirements, especially for smaller companies.
The amendment bill will also enable the listing of Indian companies on stock exchanges in foreign jurisdictions. This is expected to give Indian firms greater access to capital, a broader investor base and better valuations.



Also Read





Banks’ merger to come into effect from Apr 1, says Sitharaman 





Banks’ merger to come into effect from Apr 1, says Sitharaman 
On Wednesday, the Union Cabinet approved the proposal to amend 65 sections of the Act. “The priority is to remove sections which criminalise offences which may not have been intended to be malafide,” Finance Minister Nirmala Sitharaman told journalists after a Cabinet meeting.
She outlined proposed changes to 52 out of 66 compoundable offences under the Act, either removing them entirely, downgrading penalties from jail sentences to fines or suggesting alternative adjudication mechanisms.
 The Centre proposes to recategorise 23 offences so that they can be dealt with through an in-house adjudication framework, while five types of offences will be dealt with under different alternative frameworks. 
Another seven will be omitted altogether. Most of these are procedural or technical defaults that lack the element of fraud or do not affect larger public interest, according to an official statement.
For 11 kinds of offences, the provision of imprisonment will be removed, limiting punishment to fines only. Six offences that had already been decriminalised earlier will see a further reduction in the quantum of penalties.
The proposed amendments will also ensure that companies which have an obligation to spend ₹50 lakh per annum or less on Corporate Social Responsibility (CSR) are no longer required to have a CSR committee. Companies that spend more than the mandatory 2% on CSR in a particular year can carry it forward as credit for fulfilment of CSR obligations for the next few years as well, she said.
The changes are “expected to significantly enhance the confidence of Indian corporates in the government’s resolve to provide greater ease [of doing business] and accord highest respect to honest wealth creators in the country and reduce the burden on the justice system,” said an official statement. The amendments are based on the recommendations of a high-level panel set up in September 2019. If passed by Parliament, these would be the second set of amendments to the Act over the last year, as the law was already amended last July. Ms. Sitharaman told journalists that further changes were not expected.",economy
"Banks’ merger to come into effect from Apr 1, says Sitharaman ",https://www.thehindu.com/business/Economy/banks-merger-to-come-into-effect-from-apr-1-says-sitharaman/article30981225.ece," Finance Minister Nirmala Sitharaman on Wednesday said the exercise of consolidation of 10 public sector banks (PSBs) into four is on course and the merger will come into effect from April 1, 2020.
 The Union Cabinet, she said, has given a go-ahead for the merger proposal and the government has been in regular touch with these banks.
 There will be no regulatory issues, she said. 
“The banks’ merger is on course and decisions have already been taken by the respective bank boards,” she told reporters here.
 The mergers are aimed at creating global sized banks in India.
 In the biggest consolidation exercise in the banking space, the government in August 2019 had announced four major mergers of public sector banks, bringing down their total number to 12 from 27 in 2017, a move aimed at making state-owned lenders global sized banks.
 United Bank of India and Oriental Bank of Commerce will be merged with Punjab National Bank; Syndicate Bank will be merged with Canara Bank; Allahabad Bank will be amalgamated with Indian Bank; and Andhra Bank and Corporation Bank will be consolidated with Union Bank of India.
 Last year, Dena Bank and Vijaya Bank were merged with Bank of Baroda. Prior to this, the government had merged five associate banks of SBI and Bharatiya Mahila Bank with the State Bank of India. ",economy
Govt approves amendments to Companies Act,https://www.thehindu.com/business/Economy/govt-approves-amendments-to-companies-act/article30981204.ece,"The Union Cabinet on Wednesday approved amendments to the Companies Act, to decriminalise various offences.
Cabinet has approved 72 changes to 65 sections of the Companies Act, Finance and Corporate Affairs Minister Nirmala Sitharaman said.
 

Also Read





Banks’ merger to come into effect from Apr 1, says Sitharaman 



 

Banks’ merger to come into effect from Apr 1, says Sitharaman 
Claiming that the proposed amendments were aimed at improving the ease of doing business, Ms. Sitharaman explained: ""Out of 66 compoundable offences under the Act, 23 will get recategorised so that they can be dealt with through in-house adjudication framework, seven have been omitted altogether, 11 will have limited punishment in the form of fines alone by removing imprisonment provision, five will be dealt with under different alternative frameworks, six which had earlier been decriminalised will now have reduced quantum of penalties.""
The proposed amendments will ensure that companies which have an obligation to spend Rs. 50 lakh per annum or less on corporate social responsibity (CSR) are no longer required to have a CSR committee. Companies which spend over the obligated 2% on CSR in a particular year can carry it forward as credit for fulfilment of CSR obligations for the next few years as well.
In November, a government-appointed high level panel proposed decriminalising more than half of the existing compoundable offences under the companies law as well as lower monetary penalties for violations by startups, amid efforts to further improve the ease of doing business in the country.
This is the second amendment being made to the companies Act in the last one year. The Act was amended in July last year to tighten Corporate Social Responsibility (CSR) norms and ensure stricter action for non-compliance of the company law regulations.",economy
Sensex falls 2% intraday as virus cases increase,https://www.thehindu.com/business/markets/sensex-falls-2-intraday-as-virus-cases-increase/article30984195.ece,"Equities witnessed extreme volatility on Wednesday with the benchmark Sensex shedding more than 2% during intraday trading as the number of COVID-19 cases in India jumped to 28, leading to increased concerns that the economy might take a larger hit than previously expected.
The 30-share Sensex lost nearly 780 points during the afternoon session to touch a low of 37,846.10 before closing at 38,409.48, down 214.22 points, or 0.55%.
The broader Nifty settled the day at 11,251.00, shedding 52.30 points or 0.46%. 



Also Read





COVID-19 | Federal Reserve cuts key interest rate due to virus risk






COVID-19 | Federal Reserve cuts key interest rate due to virus risk

The market breadth was extremely weak with nearly 1,800 stocks losing ground on BSE, as against only 639 gainers.
“The rise in coronavirus cases dented sentiment and triggered a sharp decline in the middle,” said Ajit Mishra, vice-president — Research, Religare Broking. “However, it rebounded in the latter half, considerably trimming losses,” he said.
Also read | Growing numbers: On India’s COVID-19 preparedness
“The recent surge in the coronavirus cases outside China has spooked the investors’ sentiment across the globe... the surprise rate cut by the U.S. Fed failed to cheer the participants and in fact, it has raised doubts about the health of the U.S. economy,” added Mr. Mishra.
Incidentally, the fall in the Indian indices came amidst a mostly positive trend in the Asian markets that rallied on the back of a surprise 50 basis points rate cut by U.S. Federal Reserve. 



Also Read





COVID-19 | India yet to share genome sequence data






COVID-19 | India yet to share genome sequence data

Foreign portfolio investors (FPIs) continued to offload Indian equities with Wednesday’s net sales pegged at ₹878 crore.
Meanwhile, the fall in the Sensex was led by stocks like HDFC Bank, ICICI Bank, ITC, Bajaj Finance and Kotak Mahindra Bank among others.",markets
"Sensex ends 214 points lower, Nifty gives up 11,300 ",https://www.thehindu.com/business/markets/sensex-ends-214-points-lower-nifty-gives-up-11300/article30981474.ece," Resuming its downward spiral, equity benchmark Sensex ended 214 points lower after a highly volatile session on Wednesday as concerns over rising cases of coronavirus in India kept domestic investors on the edge.
 After gyrating over 945 points during the day, the 30-share index settled 214.22 points or 0.55% lower at 38,409.48.
 The broader NSE Nifty closed 52.30 points or 0.46% down at 11,251.
 Top laggards in the Sensex pack included IndusInd Bank, Bajaj Finance, ITC, UltraTech Cement and HDFC Bank, while Sun Pharma, Tech Mahindra, M&M and Asian Paints ended with gains.
 Traders said the domestic market turned increasingly jittery as 28 coronavirus cases were confirmed in India. At the beginning of the session, only six cases were reported.
 Global stocks, on the other hand, rallied after the US central bank cut its benchmark interest rate by a sizable half-percentage point in an effort to support the economy in the face of the spreading coronavirus.
 Fed Chairman Jerome Powell noted that the coronavirus “poses evolving risks to economic activity“.
The rate cut, however, failed to cheer Indian investors. There are still a lot of uncertainty on how the major economies will contain the spread of the virus, according to Ashika Institutional Equity Research.
“Thus, we remain skeptical that Fed rate cut will stabilise markets sentiments due to coronavirus outbreak,” it said.
 Bourses in Shanghai, Seoul and Tokyo ended on a positive note, while Hong Kong settled with losses.
 Stock exchanges in Europe opened up to 1% higher.
 Brent crude oil futures rose 0.58% to USD 52.16 per barrel.
 On the currency front, the Indian rupee depreciated 14 paise to 73.34 per US dollar (intra-day). ",markets
"Gold prices zoom ₹1,155, silver jumps ₹1,198",https://www.thehindu.com/business/markets/gold-prices-zoom-1155-silver-jumps-1198/article30981434.ece," Gold prices zoomed ₹1,155 to ₹44,383 per 10 gram on Wednesday in the national capital with continuous rupee deprecation and strong buying in global safe-haven assets, according to HDFC Securities.
 On Tuesday, the precious metal had closed at ₹43,228 per 10 gram.
 Silver prices also jumped ₹1,198 to ₹47,729 per kg from ₹46,531 per kg in the previous trade.
“Spot gold for 24 Karat in Delhi shot up by ₹1,155 with continuous rupee deprecation and strong buying in global safe-haven assets. The spot rupee was trading around 15 paise weaker against the dollar during the day,” HDFC Securities Senior Analyst (Commodities) Tapan Patel said.
 In the international market, gold and silver were trading flat at USD 1,638 per ounce and USD 17.17 per ounce, respectively.
“Gold prices rallied sharply after the US Fed delivered surprise rate cut of 50 bps to support lingering economy from the coronavirus effect. Gold prices may get support from lower interest rates fetching safe-haven investment,” he added. ",markets
Asian Olympic Qualifiers: Ashish Kumar makes quarterfinals,https://www.thehindu.com/sport/other-sports/asian-olympic-qualifiers-ashish-kumar-makes-quarterfinals/article30994057.ece,"Asian silver-medallist Ashish Kumar (75kg) sailed into the quarterfinals of the continental Olympic Qualifiers for boxing with a thumping win over fourth seed Kyrgyz Omurbek Bekzhigit Uulu in the last-16 stage on Thursday.
 Ashish prevailed 5-0 to set up a clash with Indonesia’s Maikhel Roberrd Muskita, who defeated New Zealand’s Ryan Scaife in his pre-quarterfinal bout. 
Making the semifinals would assure Ashish of his maiden spot in the Olympics this year.
 Up against a spunky rival, who he defeated in the Asian quarterfinals last year, Ashish played the waiting game to perfection, allowing Uulu to expend himself trying to connect.
 Uulu swung his arms more than the Indian but it was Ashish who connected more accurately in the opening three minutes.
 However, Uulu kept up the pressure in the second round as well and managed to land a couple of solid rights, which caught the Indian off-guard and led to scores being split.
 Ashish’s powerful and precise right hand served him well in the final three minutes as judges ruled unanimously in his favour.
 ",other sports
